district,property_type,bedrooms,bathrooms,size_sqm,year_built,has_garage,has_garden,has_swimming_pool,has_security,is_gated_community,distance_to_cbd_km,road_condition,price_usd
Musanze,Apartment,5,4,118,2023,0,1,1,1,0,2.3,Tarmac,204200
Nyarugenge,Standalone Villa,2,2,59,2019,0,1,1,1,1,17.8,Tarmac,337000
Kicukiro,Apartment,2,1,76,2014,0,1,0,0,1,27.7,Dirt,127500
Gasabo,Townhouse,3,3,87,1991,1,0,0,0,0,23.7,Gravel,207000
Gasabo,Apartment,3,3,100,2007,1,0,0,1,0,1.7,Tarmac,225600
Gasabo,Townhouse,3,3,95,1994,1,1,0,1,1,18.5,Gravel,249600
Kicukiro,Apartment,5,5,155,2008,1,0,0,0,0,1.2,Dirt,224700
Nyarugenge,Townhouse,4,3,115,2007,1,0,0,1,0,5.7,Tarmac,296200
Nyarugenge,Apartment,3,2,71,2021,1,0,0,1,0,8.3,Tarmac,249500
Gasabo,Apartment,3,3,73,2010,1,1,1,1,0,5.0,Tarmac,259100
Huye,Standalone Villa,4,3,130,1999,1,1,0,0,0,24.3,Dirt,146900
Nyarugenge,Apartment,5,4,150,2011,0,0,0,1,0,3.2,Tarmac,262500
Nyarugenge,Apartment,4,4,117,2002,0,0,0,1,0,6.0,Tarmac,265300
Nyarugenge,Bungalow,1,1,40,2006,1,1,0,1,1,0.6,Tarmac,252100
Kicukiro,Bungalow,3,3,85,1998,0,0,0,0,0,15.3,Gravel,165600
Gasabo,Townhouse,2,1,75,2013,0,1,0,0,0,4.3,Gravel,227100
Kicukiro,Apartment,2,2,54,2003,0,0,0,0,0,9.6,Tarmac,172900
Musanze,Apartment,2,2,40,1997,0,1,0,1,0,9.2,Tarmac,108800
Gasabo,Townhouse,3,3,101,2008,1,1,0,0,1,9.0,Dirt,235300
Gasabo,Apartment,3,2,86,2017,0,1,0,1,1,5.7,Tarmac,233700
Gasabo,Bungalow,2,2,60,2019,0,1,0,0,0,2.6,Tarmac,209500
Gasabo,Apartment,3,3,114,1996,0,0,0,0,0,7.8,Gravel,214000
Rubavu,Bungalow,3,3,89,2015,1,0,0,0,0,26.1,Gravel,112200
Nyarugenge,Standalone Villa,3,2,94,2000,1,1,0,1,0,14.4,Tarmac,343700
Kicukiro,Townhouse,2,2,42,2003,1,1,0,1,0,0.9,Tarmac,221600
Gasabo,Apartment,3,3,86,2010,1,0,0,1,0,0.5,Gravel,245800
Kicukiro,Bungalow,4,4,129,1997,0,1,1,1,1,5.5,Gravel,255700
Kicukiro,Apartment,2,2,40,1992,0,1,1,0,0,12.0,Dirt,152100
Gasabo,Townhouse,2,1,63,2017,0,1,0,1,0,3.0,Gravel,240700
Kicukiro,Townhouse,3,2,91,2018,1,1,0,1,0,9.7,Tarmac,240800
Kicukiro,Apartment,5,5,150,2012,1,1,0,1,0,21.5,Gravel,244300
Nyarugenge,Standalone Villa,3,3,105,2007,0,1,1,0,0,4.9,Tarmac,374100
Nyarugenge,Standalone Villa,3,2,95,2002,0,1,0,1,0,2.2,Dirt,283100
Gasabo,Apartment,3,3,112,2001,0,1,0,0,1,20.0,Gravel,202400
Kicukiro,Standalone Villa,3,2,75,1994,1,1,0,0,0,5.1,Gravel,253700
Nyarugenge,Apartment,1,1,40,2000,0,0,0,0,0,4.2,Gravel,185000
Kicukiro,Standalone Villa,3,2,91,2000,0,0,0,0,0,3.5,Tarmac,285500
Rubavu,Townhouse,5,5,133,2020,0,0,0,1,1,4.4,Tarmac,204400
Nyarugenge,Townhouse,3,3,104,2020,1,1,0,1,0,9.0,Tarmac,297900
Gasabo,Apartment,4,3,154,2002,1,1,0,1,0,4.5,Gravel,240300
Gasabo,Bungalow,4,4,119,2003,0,1,0,0,1,3.1,Tarmac,280800
Nyarugenge,Bungalow,2,1,67,2014,1,1,1,0,0,10.9,Tarmac,269100
Gasabo,Standalone Villa,5,5,151,2022,0,0,0,0,1,1.8,Gravel,353600
Nyarugenge,Standalone Villa,2,1,49,2022,1,0,0,1,0,1.8,Tarmac,331200
Huye,Standalone Villa,3,3,62,2004,0,1,0,0,0,9.5,Gravel,129800
Nyarugenge,Townhouse,2,2,49,2005,1,0,0,1,0,16.1,Tarmac,234900
Kicukiro,Townhouse,1,1,40,1995,0,0,0,0,0,2.2,Tarmac,170400
Nyarugenge,Apartment,3,2,115,2014,0,1,0,1,1,1.7,Tarmac,270000
Kicukiro,Townhouse,2,1,58,2004,1,0,0,0,0,8.9,Dirt,160200
Kicukiro,Apartment,3,3,84,1993,0,1,0,0,0,7.8,Tarmac,187600
Huye,Apartment,3,3,103,1993,0,0,0,0,1,4.7,Tarmac,123000
Kicukiro,Townhouse,1,1,40,2019,0,1,0,0,1,0.8,Gravel,201000
Huye,Townhouse,2,2,48,2023,0,0,0,0,0,0.8,Dirt,97000
Rubavu,Standalone Villa,3,3,91,2016,0,0,0,1,0,12.0,Tarmac,131000
Gasabo,Standalone Villa,3,3,105,2020,0,1,0,0,0,4.8,Gravel,302200
Gasabo,Bungalow,4,4,127,2021,1,1,0,0,1,15.6,Gravel,257800
Gasabo,Standalone Villa,3,3,93,1998,1,1,0,0,1,6.8,Gravel,319900
Gasabo,Townhouse,4,4,121,1997,0,0,0,1,0,7.7,Tarmac,262800
Gasabo,Apartment,3,3,96,2003,1,0,0,1,0,21.8,Tarmac,219800
Nyarugenge,Apartment,3,3,93,2022,1,1,0,1,0,1.4,Tarmac,269500
Gasabo,Apartment,3,3,74,2012,0,0,0,0,0,6.3,Gravel,200400
Kicukiro,Standalone Villa,2,2,60,2010,0,0,0,0,1,0.5,Tarmac,270300
Musanze,Townhouse,3,3,73,2001,1,1,1,0,0,3.6,Gravel,187700
Gasabo,Apartment,4,3,121,1991,1,0,0,1,0,1.3,Tarmac,263400
Musanze,Standalone Villa,3,3,82,2002,0,0,0,1,0,1.7,Tarmac,201800
Gasabo,Apartment,4,4,158,1993,0,0,0,1,0,21.8,Gravel,202900
Gasabo,Apartment,4,4,119,2009,0,1,0,1,0,7.5,Dirt,217400
Nyarugenge,Bungalow,4,4,98,2003,1,0,0,1,1,17.8,Gravel,239900
Nyarugenge,Townhouse,5,5,147,2019,0,1,0,1,1,4.7,Tarmac,322200
Rubavu,Apartment,3,3,97,2018,1,0,0,0,0,7.3,Tarmac,144200
Nyarugenge,Townhouse,3,2,115,1997,0,1,0,0,1,0.5,Gravel,274800
Musanze,Townhouse,3,3,81,2001,0,0,0,1,1,5.1,Tarmac,149600
Gasabo,Townhouse,3,2,66,2015,0,0,0,0,0,6.6,Gravel,220100
Gasabo,Apartment,3,3,102,1991,1,1,0,1,0,0.5,Tarmac,253300
Musanze,Standalone Villa,4,4,99,2003,0,1,0,1,0,12.5,Gravel,179200
Musanze,Apartment,3,3,83,1995,0,1,0,1,0,2.8,Dirt,135700
Huye,Townhouse,3,3,86,2020,1,1,1,0,1,4.8,Tarmac,181400
Kicukiro,Townhouse,2,2,58,2006,1,0,0,1,0,6.1,Gravel,212900
Kicukiro,Standalone Villa,3,2,100,2014,0,0,0,1,1,38.8,Tarmac,244800
Musanze,Apartment,2,2,49,2021,0,0,0,0,1,0.8,Tarmac,147800
Kicukiro,Apartment,4,3,115,2001,1,1,0,0,0,6.5,Tarmac,214400
Huye,Apartment,3,2,89,2002,1,0,0,0,1,6.1,Gravel,129600
Rubavu,Bungalow,2,2,62,2008,0,1,1,1,0,0.6,Tarmac,152800
Kicukiro,Apartment,1,1,40,2014,1,0,0,0,0,8.0,Gravel,160800
Musanze,Apartment,3,3,96,2020,0,1,1,1,0,2.7,Tarmac,175800
Musanze,Bungalow,3,3,102,2014,1,0,0,1,0,0.9,Tarmac,171700
Gasabo,Standalone Villa,3,3,95,2005,0,0,1,0,0,1.6,Tarmac,334900
Rubavu,Townhouse,2,2,66,2012,1,1,0,1,1,13.9,Gravel,130900
Kicukiro,Apartment,3,3,66,2003,0,1,0,0,1,0.9,Tarmac,230800
Musanze,Standalone Villa,3,3,90,1995,1,1,0,1,0,5.0,Tarmac,196400
Kicukiro,Standalone Villa,3,2,97,2014,1,1,0,0,0,1.7,Tarmac,286200
Rubavu,Townhouse,3,2,100,2012,0,1,0,0,0,1.4,Tarmac,142400
Kicukiro,Apartment,3,2,79,2001,0,1,0,0,1,1.8,Tarmac,228900
Gasabo,Standalone Villa,2,2,50,2002,0,1,0,1,0,5.4,Tarmac,281400
Rubavu,Townhouse,5,5,141,2023,1,1,1,0,1,2.2,Tarmac,250000
Gasabo,Standalone Villa,3,3,98,1995,1,0,0,0,1,0.8,Tarmac,330100
Kicukiro,Standalone Villa,3,3,105,1997,1,0,0,0,0,12.9,Tarmac,263800
Huye,Apartment,2,2,53,1997,0,1,0,0,1,6.2,Gravel,105100
Huye,Apartment,3,2,103,2022,1,1,0,1,1,1.4,Tarmac,160200
Nyarugenge,Townhouse,1,1,40,2023,0,0,0,1,0,5.1,Tarmac,256800
Nyarugenge,Townhouse,3,3,88,2004,0,0,1,1,0,0.6,Gravel,294800
Kicukiro,Bungalow,5,5,146,2011,0,1,0,0,1,6.9,Gravel,265900
Gasabo,Townhouse,3,3,101,2012,0,0,1,0,1,3.3,Dirt,265600
Kicukiro,Standalone Villa,1,1,40,2011,1,1,0,1,1,0.9,Tarmac,291100
Nyarugenge,Bungalow,1,1,64,1994,1,1,0,1,0,1.6,Gravel,206100
Musanze,Apartment,3,3,77,2020,0,0,0,0,1,3.4,Gravel,141600
Musanze,Standalone Villa,2,2,67,2002,0,1,0,1,0,13.1,Dirt,136300
Musanze,Apartment,1,1,40,2017,0,1,0,1,1,1.5,Dirt,109400
Gasabo,Apartment,4,4,106,2009,1,1,1,0,0,0.9,Tarmac,283500
Kicukiro,Townhouse,3,2,89,2022,0,0,0,1,1,5.8,Tarmac,252400
Gasabo,Standalone Villa,2,2,62,2005,0,0,0,0,0,6.5,Gravel,269800
Kicukiro,Standalone Villa,5,5,193,2018,1,1,0,1,1,0.8,Tarmac,371900
Kicukiro,Standalone Villa,2,2,57,2012,1,0,0,1,0,2.7,Gravel,264000
Rubavu,Standalone Villa,5,5,133,2013,1,0,0,0,1,2.4,Tarmac,238900
Kicukiro,Apartment,3,3,94,2023,1,0,1,1,1,1.6,Gravel,244500
Gasabo,Townhouse,4,3,88,1996,1,0,1,1,0,3.0,Tarmac,290600
Gasabo,Standalone Villa,3,2,88,1993,0,0,0,1,1,0.5,Tarmac,324100
Musanze,Townhouse,4,4,120,2023,1,0,1,0,0,8.4,Dirt,201100
Nyarugenge,Apartment,5,5,161,2011,0,1,0,1,0,35.7,Tarmac,243400
Gasabo,Apartment,2,1,74,1994,1,1,0,1,1,8.0,Tarmac,228700
Gasabo,Townhouse,5,5,142,2012,0,0,0,0,0,3.6,Tarmac,302100
Nyarugenge,Townhouse,3,3,87,2004,1,1,0,0,1,8.8,Dirt,268400
Gasabo,Standalone Villa,3,3,78,2020,0,0,0,1,1,6.8,Gravel,303900
Musanze,Townhouse,3,2,73,1998,0,1,0,1,0,15.0,Gravel,100800
Nyarugenge,Bungalow,3,2,94,2014,1,0,0,0,0,7.8,Tarmac,263700
Gasabo,Bungalow,2,2,40,2014,0,0,0,1,0,8.0,Tarmac,205300
Gasabo,Townhouse,3,2,83,2010,1,1,0,1,0,2.0,Tarmac,260900
Huye,Townhouse,3,2,75,1998,0,0,1,0,1,4.3,Tarmac,161800
Kicukiro,Apartment,4,4,128,2011,1,1,0,0,1,3.4,Tarmac,277400
Kicukiro,Townhouse,4,4,147,2012,1,0,0,1,0,0.5,Gravel,265600
Musanze,Standalone Villa,3,3,70,1993,1,0,0,1,0,3.0,Tarmac,169600
Huye,Bungalow,3,2,62,2018,0,1,0,1,1,5.3,Tarmac,150000
Huye,Apartment,2,2,58,2004,0,1,1,0,0,7.3,Tarmac,119100
Musanze,Standalone Villa,2,1,60,1990,0,0,1,1,0,21.8,Tarmac,157500
Kicukiro,Standalone Villa,2,2,63,2019,1,0,0,1,0,2.2,Tarmac,284000
Gasabo,Standalone Villa,3,2,83,2018,1,0,0,0,1,1.3,Tarmac,341500
Musanze,Apartment,2,2,56,2009,1,1,0,0,0,16.3,Tarmac,119200
Nyarugenge,Standalone Villa,5,5,155,2022,0,0,0,1,0,22.8,Dirt,313400
Kicukiro,Townhouse,3,2,105,2011,0,0,0,0,1,5.4,Tarmac,242700
Rubavu,Townhouse,3,2,60,2002,0,1,0,0,0,1.0,Gravel,118100
Gasabo,Apartment,3,2,84,1996,1,0,1,0,1,5.3,Tarmac,260300
Kicukiro,Townhouse,2,2,63,1997,0,0,1,0,0,0.9,Gravel,223600
Gasabo,Apartment,3,2,76,2017,0,0,0,1,0,17.2,Tarmac,192000
Kicukiro,Apartment,3,3,115,1998,1,1,0,0,0,9.9,Gravel,188200
Gasabo,Townhouse,3,3,80,2014,0,0,1,1,0,2.2,Tarmac,294000
Gasabo,Townhouse,3,3,89,2005,1,0,0,1,0,17.4,Tarmac,260900
Gasabo,Standalone Villa,5,5,158,1999,0,1,0,1,0,8.1,Dirt,302600
Nyarugenge,Standalone Villa,4,4,111,2000,0,0,0,0,0,24.5,Gravel,301000
Nyarugenge,Apartment,3,2,62,2020,0,0,0,1,0,31.5,Tarmac,197500
Nyarugenge,Standalone Villa,3,3,83,2001,1,0,0,1,1,0.5,Tarmac,347200
Huye,Apartment,3,2,105,2020,0,1,0,1,1,1.0,Tarmac,153900
Kicukiro,Bungalow,2,2,54,2003,0,1,0,1,1,6.3,Gravel,207000
Gasabo,Townhouse,3,3,77,2021,0,0,0,1,0,25.0,Gravel,193700
Rubavu,Townhouse,1,1,43,2006,0,0,0,1,1,40.0,Tarmac,53000
Gasabo,Standalone Villa,3,2,85,1990,1,0,0,1,0,6.7,Tarmac,300900
Huye,Townhouse,3,2,82,2018,0,0,0,1,0,1.5,Tarmac,129200
Gasabo,Standalone Villa,2,1,62,1993,1,1,1,0,0,1.4,Tarmac,331200
Huye,Apartment,5,4,161,2012,0,0,0,0,1,11.5,Tarmac,175900
Gasabo,Apartment,5,5,185,2017,1,0,0,1,1,7.2,Gravel,299900
Rubavu,Townhouse,4,4,132,2005,1,1,1,0,0,6.4,Gravel,199900
Kicukiro,Bungalow,3,2,107,2001,1,0,0,1,0,5.0,Tarmac,206900
Huye,Apartment,4,4,112,2010,1,1,0,0,1,10.3,Dirt,130000
Gasabo,Apartment,2,2,44,2006,0,0,0,1,0,15.6,Tarmac,187200
Nyarugenge,Standalone Villa,4,4,120,2002,1,1,0,1,0,2.9,Gravel,338000
Huye,Townhouse,2,2,61,2021,0,0,1,0,0,2.0,Dirt,130300
Kicukiro,Apartment,4,4,103,2004,0,1,0,1,0,8.9,Tarmac,220900
Nyarugenge,Apartment,2,2,57,2001,1,0,0,1,0,19.7,Tarmac,201700
Nyarugenge,Townhouse,4,4,125,2004,0,1,0,1,1,3.4,Tarmac,292900
Kicukiro,Standalone Villa,5,5,155,2023,1,0,0,1,0,2.5,Gravel,329400
Nyarugenge,Apartment,2,2,67,1995,0,1,1,0,0,2.1,Tarmac,252500
Nyarugenge,Apartment,3,3,94,2006,0,0,0,1,0,2.3,Gravel,223000
Rubavu,Townhouse,5,4,142,2009,1,1,0,0,1,1.2,Tarmac,200900
Gasabo,Standalone Villa,3,3,82,1998,1,1,0,0,0,7.3,Tarmac,317600
Gasabo,Bungalow,4,4,102,1994,1,1,0,1,0,2.6,Tarmac,249400
Huye,Townhouse,3,2,116,2012,1,1,1,1,0,7.6,Tarmac,181800
Rubavu,Apartment,3,3,90,2022,1,0,0,1,0,0.7,Dirt,148500
Kicukiro,Standalone Villa,2,2,56,2003,0,0,1,1,0,1.0,Dirt,224300
Nyarugenge,Standalone Villa,2,1,46,2006,1,1,0,0,0,6.1,Tarmac,316200
Gasabo,Apartment,4,4,164,2008,0,0,0,1,0,5.7,Tarmac,255100
Gasabo,Bungalow,3,2,73,2022,0,0,1,1,0,2.5,Tarmac,257400
Kicukiro,Townhouse,3,2,83,1990,0,0,0,0,0,14.0,Gravel,173500
Kicukiro,Apartment,3,2,96,2002,0,0,0,1,1,1.7,Tarmac,205700
Nyarugenge,Apartment,3,3,99,2016,1,1,0,1,1,3.6,Gravel,260500
Gasabo,Apartment,4,4,134,1995,1,1,0,0,1,6.5,Tarmac,274600
Huye,Apartment,5,5,177,1995,1,1,0,1,1,16.2,Gravel,180400
Huye,Standalone Villa,3,3,97,2022,1,0,0,0,0,4.3,Gravel,166700
Nyarugenge,Standalone Villa,4,4,104,2019,0,1,0,0,1,4.1,Tarmac,390600
Kicukiro,Bungalow,4,4,116,2012,0,1,0,1,1,6.9,Gravel,227200
Kicukiro,Apartment,3,3,94,1999,0,1,0,1,1,3.0,Gravel,207900
Musanze,Standalone Villa,5,5,181,2008,1,1,0,1,0,9.9,Gravel,231200
Nyarugenge,Bungalow,2,2,40,2017,0,1,0,1,0,2.3,Tarmac,209900
Gasabo,Standalone Villa,2,2,78,2012,0,0,0,1,1,13.9,Tarmac,301400
Rubavu,Apartment,4,3,122,1993,1,0,0,1,1,2.5,Dirt,156000
Musanze,Apartment,3,3,102,2009,1,0,1,0,0,39.4,Gravel,103600
Huye,Apartment,4,4,118,2008,1,1,0,1,1,3.0,Gravel,178700
Nyarugenge,Bungalow,4,3,107,2016,1,1,1,0,1,16.9,Gravel,293600
Nyarugenge,Bungalow,2,2,71,2023,0,1,0,1,0,4.1,Tarmac,251700
Kicukiro,Bungalow,4,4,129,1993,0,1,0,1,0,2.3,Dirt,191500
Huye,Townhouse,3,3,104,1996,1,1,0,0,0,2.1,Tarmac,138100
Rubavu,Standalone Villa,3,2,89,1996,1,1,0,1,0,15.2,Dirt,142300
Gasabo,Bungalow,3,3,81,2015,1,1,0,1,1,3.0,Tarmac,263000
Gasabo,Bungalow,5,5,126,2015,0,0,1,0,0,3.3,Tarmac,290100
Kicukiro,Standalone Villa,1,1,42,2008,1,0,0,0,1,1.8,Tarmac,260300
Musanze,Apartment,3,2,96,1998,0,0,0,1,1,26.0,Dirt,100600
Huye,Standalone Villa,3,3,75,2009,0,0,1,0,0,2.2,Dirt,169300
Gasabo,Apartment,4,4,111,2005,0,1,0,1,0,2.3,Gravel,237500
Nyarugenge,Apartment,3,2,82,2006,0,0,0,1,1,23.0,Tarmac,231600
Kicukiro,Bungalow,2,2,40,2011,0,1,0,1,0,18.5,Tarmac,181200
Huye,Bungalow,2,1,47,2002,0,0,1,0,1,2.3,Gravel,121300
Musanze,Apartment,3,3,72,2001,1,0,0,1,0,16.0,Tarmac,123700
Musanze,Standalone Villa,4,3,113,1999,1,1,0,0,0,2.3,Gravel,214200
Kicukiro,Townhouse,2,2,48,1990,0,1,0,1,0,0.7,Gravel,202100
Kicukiro,Townhouse,2,1,40,2021,0,0,0,0,0,13.7,Tarmac,195900
Gasabo,Standalone Villa,5,4,180,2019,1,1,0,1,0,11.8,Gravel,349000
Gasabo,Townhouse,1,1,48,1997,0,0,0,1,1,2.8,Gravel,207500
Rubavu,Bungalow,5,5,138,2010,0,1,0,1,0,0.8,Dirt,166300
Musanze,Bungalow,3,3,94,2011,1,1,0,0,1,1.8,Gravel,184100
Huye,Standalone Villa,4,4,126,2007,0,0,0,0,1,11.8,Gravel,167300
Huye,Apartment,2,2,77,1991,1,1,0,1,1,26.8,Tarmac,109600
Nyarugenge,Bungalow,1,1,40,1998,1,1,0,0,0,2.4,Tarmac,240100
Musanze,Apartment,4,4,136,1992,1,1,0,1,1,13.6,Tarmac,187000
Huye,Townhouse,4,4,111,2015,1,1,0,0,0,2.1,Tarmac,177600
Musanze,Apartment,4,4,99,2010,1,0,1,1,0,9.1,Tarmac,201600
Gasabo,Standalone Villa,2,1,70,2019,0,1,0,1,1,0.7,Tarmac,312900
Kicukiro,Standalone Villa,4,4,139,2017,1,1,0,0,0,7.0,Dirt,273300
Gasabo,Apartment,4,4,158,2015,0,1,0,1,1,2.5,Gravel,254500
Huye,Bungalow,3,3,72,2023,1,0,0,0,1,20.8,Tarmac,107300
Nyarugenge,Apartment,4,4,130,1997,1,1,0,0,0,2.7,Tarmac,276700
Gasabo,Bungalow,4,4,113,1999,0,1,0,0,0,4.1,Tarmac,252600
Nyarugenge,Bungalow,3,3,101,2003,1,1,0,1,1,14.7,Tarmac,276900
Nyarugenge,Apartment,2,2,40,2004,0,0,0,1,0,4.6,Tarmac,206100
Kicukiro,Townhouse,3,2,71,2006,0,0,0,1,1,2.2,Dirt,199500
Gasabo,Apartment,2,2,48,2007,1,0,1,0,0,6.3,Gravel,220600
Nyarugenge,Townhouse,3,2,91,2021,0,0,0,1,0,14.7,Gravel,226400
Kicukiro,Standalone Villa,3,2,80,2012,0,1,0,0,0,4.5,Tarmac,279400
Musanze,Apartment,2,1,69,2012,0,1,0,0,0,1.1,Tarmac,137500
Kicukiro,Standalone Villa,3,2,105,2004,1,1,0,0,0,3.9,Tarmac,293800
Rubavu,Townhouse,2,2,68,2013,0,1,0,1,0,24.7,Gravel,89700
Nyarugenge,Bungalow,4,4,144,2017,0,0,0,1,0,0.6,Gravel,284900
Nyarugenge,Apartment,5,4,156,2005,1,0,0,0,1,4.2,Tarmac,288800
Rubavu,Standalone Villa,2,2,41,2005,0,1,0,1,0,8.4,Gravel,123100
Kicukiro,Apartment,5,5,170,1995,0,1,0,0,0,0.7,Tarmac,246300
Gasabo,Townhouse,3,2,80,1991,1,1,0,1,0,3.4,Tarmac,265600
Gasabo,Apartment,2,1,73,2002,0,0,1,0,0,22.6,Gravel,161200
Musanze,Townhouse,2,1,83,1998,1,1,0,0,0,0.5,Tarmac,163100
Nyarugenge,Apartment,3,2,96,2023,0,0,0,1,0,11.1,Gravel,218500
Nyarugenge,Standalone Villa,4,3,97,2006,1,1,0,1,0,14.7,Tarmac,363300
Gasabo,Townhouse,4,4,106,2016,1,1,0,1,0,2.6,Tarmac,306100
Gasabo,Townhouse,2,1,79,2018,0,1,0,1,0,1.9,Tarmac,239600
Gasabo,Townhouse,2,2,57,2011,0,0,1,1,0,19.7,Tarmac,234500
Kicukiro,Standalone Villa,3,3,91,2013,1,1,0,1,0,11.6,Tarmac,291000
Nyarugenge,Bungalow,2,1,71,1996,0,0,0,1,1,1.0,Gravel,227900
Kicukiro,Standalone Villa,2,2,70,2023,1,0,0,0,0,1.9,Tarmac,276900
Kicukiro,Bungalow,2,2,64,2001,1,1,0,1,1,7.8,Tarmac,229800
Rubavu,Standalone Villa,4,4,116,2012,1,0,0,1,1,4.3,Gravel,205700
Kicukiro,Standalone Villa,5,4,145,2004,1,1,0,0,0,5.6,Dirt,280800
Kicukiro,Apartment,3,3,102,2022,0,0,0,1,1,24.2,Gravel,196700
Musanze,Standalone Villa,5,4,158,2002,0,1,0,0,0,4.4,Dirt,205300
Kicukiro,Apartment,3,3,86,2012,1,1,0,1,1,17.1,Gravel,208200
Nyarugenge,Bungalow,3,2,106,2021,1,0,0,0,0,8.6,Tarmac,255800
Rubavu,Townhouse,2,1,58,1990,1,1,0,0,0,1.0,Gravel,134900
Huye,Bungalow,3,3,77,1994,1,1,0,0,0,10.9,Tarmac,107500
Gasabo,Apartment,5,5,138,2002,1,1,0,1,1,5.9,Tarmac,300800
Rubavu,Apartment,3,3,75,1994,0,1,0,0,0,2.0,Tarmac,130600
Kicukiro,Bungalow,3,2,85,2021,1,1,0,1,1,2.7,Tarmac,236000
Gasabo,Standalone Villa,3,2,108,2010,0,0,1,1,1,6.5,Gravel,328800
Kicukiro,Standalone Villa,2,1,47,2013,0,0,0,0,0,7.4,Gravel,213400
Huye,Bungalow,4,4,122,2007,0,0,0,1,0,27.6,Tarmac,107200
Kicukiro,Standalone Villa,3,2,80,2010,1,1,0,0,0,15.4,Dirt,231100
Kicukiro,Apartment,3,2,86,1999,1,1,0,1,0,1.8,Gravel,194000
Nyarugenge,Bungalow,3,2,67,2013,0,1,0,1,1,11.9,Tarmac,230400
Gasabo,Apartment,3,2,86,2010,0,1,1,0,1,0.5,Dirt,230800
Gasabo,Bungalow,2,2,57,2014,1,1,0,0,1,1.1,Tarmac,248800
Gasabo,Apartment,3,3,98,2012,1,0,0,1,1,1.8,Gravel,239100
Gasabo,Townhouse,2,1,63,2011,1,0,0,1,0,7.3,Tarmac,237600
Gasabo,Apartment,4,3,102,1993,1,1,0,0,0,1.7,Gravel,228900
Gasabo,Townhouse,4,4,136,2023,1,0,0,0,1,3.6,Dirt,258200
Nyarugenge,Apartment,4,4,123,1995,0,1,0,1,1,2.2,Tarmac,302500
Gasabo,Townhouse,3,3,92,2017,0,0,0,0,0,3.3,Tarmac,257000
Kicukiro,Standalone Villa,3,3,89,2020,0,0,0,1,0,22.8,Tarmac,256400
Rubavu,Apartment,2,2,52,2012,1,1,0,1,1,40.0,Tarmac,79400
Kicukiro,Townhouse,4,3,123,1995,0,0,0,0,0,9.3,Gravel,211400
Nyarugenge,Standalone Villa,2,1,67,2005,1,1,0,1,0,6.8,Tarmac,327700
Gasabo,Apartment,3,3,63,1991,0,0,0,1,1,9.9,Tarmac,215500
Gasabo,Apartment,2,2,51,2013,0,1,0,1,1,11.8,Gravel,207700
Gasabo,Standalone Villa,2,2,56,2006,0,1,0,1,1,10.7,Tarmac,292900
Gasabo,Apartment,3,3,93,1990,0,1,0,1,1,0.7,Gravel,230000
Gasabo,Apartment,2,1,77,1995,0,1,0,1,0,3.0,Tarmac,214300
Gasabo,Apartment,4,3,108,1994,1,0,0,0,1,3.4,Tarmac,247900
Gasabo,Townhouse,3,3,82,2018,0,0,0,1,0,3.7,Tarmac,248900
Gasabo,Standalone Villa,1,1,40,2001,1,0,0,0,1,3.4,Dirt,227500
Kicukiro,Apartment,3,2,77,1992,0,1,1,0,0,12.4,Tarmac,221100
Gasabo,Bungalow,1,1,40,1990,0,1,0,1,0,11.0,Tarmac,188200
Kicukiro,Bungalow,2,2,71,2016,0,0,0,1,1,0.5,Tarmac,214000
Kicukiro,Apartment,4,3,104,2013,1,1,0,1,0,2.8,Gravel,219500
Nyarugenge,Apartment,2,2,66,2008,0,0,0,0,1,7.8,Tarmac,217400
Gasabo,Bungalow,4,4,94,1997,0,0,0,1,0,1.0,Gravel,232500
Musanze,Standalone Villa,1,1,40,1991,1,1,0,1,0,0.6,Tarmac,158200
Nyarugenge,Apartment,2,2,55,2019,0,0,0,1,0,14.1,Tarmac,200200
Gasabo,Standalone Villa,4,4,145,2019,1,0,0,1,1,4.8,Tarmac,364000
Rubavu,Townhouse,3,3,85,2021,0,1,0,1,1,15.5,Tarmac,158300
Rubavu,Apartment,2,2,40,1990,1,1,0,1,0,13.9,Dirt,80600
Gasabo,Townhouse,3,2,60,2002,0,0,0,0,0,17.9,Tarmac,200100
Gasabo,Townhouse,2,1,60,2000,1,1,0,1,1,0.5,Gravel,246300
Musanze,Standalone Villa,4,4,129,1999,1,1,1,0,0,1.6,Tarmac,239100
Nyarugenge,Bungalow,3,2,95,2015,0,0,0,1,0,2.8,Gravel,244200
Gasabo,Apartment,4,3,122,2009,0,1,0,1,0,1.2,Tarmac,267200
Gasabo,Standalone Villa,4,3,137,2006,0,0,0,0,1,5.3,Dirt,271500
Kicukiro,Standalone Villa,3,3,81,2006,1,0,0,1,0,12.8,Tarmac,272600
Kicukiro,Standalone Villa,5,4,163,1993,0,0,0,1,0,24.2,Gravel,270600
Nyarugenge,Apartment,3,2,65,1994,0,1,1,0,1,17.6,Tarmac,245300
Kicukiro,Standalone Villa,5,4,136,2012,1,0,0,0,0,4.9,Tarmac,338000
Kicukiro,Apartment,2,2,40,1999,0,0,0,0,0,8.1,Tarmac,163300
Nyarugenge,Apartment,3,3,85,2017,0,0,0,0,0,2.1,Gravel,227600
Gasabo,Apartment,3,2,89,2022,0,0,0,1,1,4.1,Tarmac,244400
